"FBgn" "ML.dN" "ML.dS" "ML.omega"
"FBgn0034059" 0.0327 0.2533 0.1291
"FBgn0030623" 0.204 0.3451 0.5911
"FBgn0004855" 4e-04 0.4418 9e-04
"FBgn0004429" 0.138 115.0922 0.0012
"FBgn0262827" 0.1691 0.4718 0.3584
"FBgn0034474" 0.07 0.344 0.2035
"FBgn0030311" 0.0029 0.1559 0.0186
"FBgn0051680" 0.3621 0.5768 0.6278
"FBgn0259148" 0.0497 0.3157 0.1574
"FBgn0037937" 0.0047 0.3121 0.0151
"FBgn0015298" 0.0568 0.3166 0.1794
"FBgn0038207" 0.0301 0.2683 0.1122
"FBgn0053690" 0.1175 0.4497 0.2613
"FBgn0004779" 0.0232 0.2262 0.1026
"FBgn0010078" 1e-04 0.0746 0.0013
"FBgn0032420" 0.014 0.3497 0.04
"FBgn0264810" 0.0029 0.3397 0.0085
"FBgn0054021" 0.081 0.4035 0.2007
"FBgn0261682" 0.0677 0.3799 0.1782
"FBgn0262731" 0.11 0.3593 0.3062
"FBgn0037503" 0.0746 0.2609 0.2859
"FBgn0002578" 0.0108 0.1745 0.0619
"FBgn0030802" 0.0067 0.3287 0.0204
"FBgn0264302" 2e-04 0.2389 8e-04
"FBgn0029148" 0.0081 0.2697 0.03
"FBgn0036586" 0.0948 0.1287 0.7366
"FBgn0032200" 0.0149 0.2614 0.057
"FBgn0032816" 0.0079 0.3576 0.0221
"FBgn0037885" 0.3804 0.7061 0.5387
"FBgn0034841" 0.2408 0.4002 0.6017
"FBgn0033232" 0.0834 0.2889 0.2887
"FBgn0062442" 0.0256 0.3005 0.0852
"FBgn0260007" 0.1127 0.3753 0.3003
"FBgn0032111" 0.0431 0.369 0.1168
"FBgn0033693" 0.0159 0.4548 0.035
"FBgn0003714" 0.0663 0.5612 0.1181
"FBgn0039007" 0.0167 0.3729 0.0448
"FBgn0031372" 0.1949 0.4569 0.4266
"FBgn0028894" 0.0065 0.3812 0.0171
"FBgn0036696" 0.022 0.3086 0.0713
"FBgn0261991" 0.2411 0.4 0.6028
"FBgn0036766" 0.0384 0.3643 0.1054
"FBgn0020641" 0.0198 0.3296 0.0601
"FBgn0035817" 0.0028 0.205 0.0137
"FBgn0039801" 0.1236 1.1598 0.1066
"FBgn0035553" 0.0245 0.1954 0.1254
"FBgn0038078" 0.0125 0.4361 0.0287
"FBgn0031364" 0.04 0.3094 0.1293
"FBgn0054015" 0.1122 0.3614 0.3105
"FBgn0050378" 0.0539 0.3274 0.1646
"FBgn0034509" 0.095 0.4927 0.1928
"FBgn0038893" 0.0334 0.1965 0.17
"FBgn0030373" 0.2644 0.5584 0.4735
"FBgn0261806" 0.1557 0.3458 0.4503
"FBgn0036471" 0.0931 0.3553 0.262
"FBgn0039205" 0.0096 0.2709 0.0354
"FBgn0033208" 0.0367 0.3264 0.1124
"FBgn0036192" 0.0272 0.2503 0.1087
"FBgn0030881" 0.1661 0.4898 0.3391
"FBgn0053647" 0.1392 0.3827 0.3637
"FBgn0053544" 0.0412 0.2452 0.168
"FBgn0051957" 0.0152 0.5343 0.0284
"FBgn0000591" 0.0094 0.0974 0.0965
"FBgn0039454" 0.0598 0.2128 0.281
"FBgn0040291" 0.0234 0.2419 0.0967
"FBgn0034475" 0.0268 0.4361 0.0615
"FBgn0032899" 0.0227 0.3398 0.0668
"FBgn0031909" 0.0143 0.3061 0.0467
"FBgn0032652" 0.0101 0.2989 0.0338
"FBgn0039031" 0.1202 0.4555 0.2639
"FBgn0004181" 0.2569 0.5941 0.4324
"FBgn0000318" 0.0166 0.2533 0.0655
"FBgn0050195" 0.0259 0.2311 0.1121
"FBgn0029885" 0.0158 0.3686 0.0429
"FBgn0032834" 0.1326 0.2904 0.4566
"FBgn0051712" 2e-04 0.2017 0.001
"FBgn0002626" 1e-04 0.1385 7e-04
"FBgn0033209" 0.0095 0.3781 0.0251
"FBgn0004430" 0.0058 0.5338 0.0109
"FBgn0243513" 0.003 0.3747 0.008
"FBgn0263035" 0.0497 0.3131 0.1587
"FBgn0262101" 0.4575 0.5558 0.8231
"FBgn0027790" 0.0154 0.1227 0.1255
"FBgn0037110" 0.0061 0.2758 0.0221
"FBgn0035520" 0.002 0.301 0.0066
"FBgn0259739" 0.1398 0.334 0.4186
"FBgn0260643" 0.0723 0.4138 0.1747
"FBgn0050273" 0.0135 0.2272 0.0594
"FBgn0001280" 0.0204 0.299 0.0682
"FBgn0050039" 0.2813 0.4011 0.7013
"FBgn0040074" 0.029 0.1707 0.1699
"FBgn0033605" 0.0064 0.3142 0.0204
"FBgn0032884" 0.0245 0.2746 0.0892
"FBgn0261059" 0.0911 0.5901 0.1544
"FBgn0051675" 0.0391 0.2158 0.1812
"FBgn0037724" 0.0736 0.4643 0.1585
"FBgn0000339" 0.0064 0.2453 0.0261
"FBgn0035279" 0.0298 0.1533 0.1944
"FBgn0032900" 0.0399 0.1994 0.2001
"FBgn0020277" 0.046 0.2949 0.156
"FBgn0260759" 0.0224 0.2244 0.0998
"FBgn0040063" 0.2178 0.5164 0.4218
"FBgn0003742" 0.1137 0.3576 0.318
"FBgn0039376" 0.0715 0.3383 0.2114
"FBgn0262036" 0.3372 0.747 0.4514
"FBgn0051609" 0.0871 0.3427 0.2542
"FBgn0052299" 0.0748 0.3114 0.2402
"FBgn0039735" 0.008 0.2186 0.0366
"FBgn0085298" 0.1231 0.4446 0.2769
"FBgn0035370" 0.0097 0.4692 0.0207
"FBgn0011239" 0.1058 0.2247 0.4709
"FBgn0054034" 0.3128 0.7566 0.4134
"FBgn0034096" 0.023 0.3256 0.0706
"FBgn0260441" 1e-04 0.0983 0.001
"FBgn0036909" 0.016 0.2666 0.06
"FBgn0034744" 0.012 0.2758 0.0435
"FBgn0031412" 0.0437 0.1841 0.2374
"FBgn0042132" 0.0388 0.2528 0.1535
"FBgn0036062" 0.1134 0.4316 0.2627
"FBgn0035699" 0.0171 0.1875 0.0912
"FBgn0086691" 0.0098 0.342 0.0287
"FBgn0034541" 0.0056 0.3785 0.0148
"FBgn0261437" 0.0275 0.2801 0.0982
"FBgn0259728" 0.0501 0.2322 0.2158
"FBgn0260451" 0.0451 0.2263 0.1993
"FBgn0034935" 0.0258 0.1716 0.1503
"FBgn0030261" 0.014 0.2667 0.0525
"FBgn0039685" 0.016 0.2713 0.059
"FBgn0026149" 0.0078 0.3795 0.0206
"FBgn0030801" 0.1056 0.2444 0.4321
"FBgn0038631" 0.0638 0.5409 0.118
"FBgn0034724" 0.0464 0.2486 0.1866
"FBgn0030991" 0.0852 0.3231 0.2637
"FBgn0036661" 0.0153 0.1057 0.1447
"FBgn0050077" 0.0244 0.3751 0.065
"FBgn0037637" 0.0057 0.3131 0.0182
"FBgn0002609" 0.006 0.1455 0.0412
"FBgn0032370" 0.1 0.4145 0.2413
"FBgn0039766" 0.1111 0.336 0.3307
"FBgn0013949" 0.0558 0.2825 0.1975
"FBgn0035335" 0.0085 0.3295 0.0258
"FBgn0028668" 0.0552 0.5967 0.0925
"FBgn0036442" 0.0633 0.3232 0.1959
"FBgn0031022" 0.1378 0.4849 0.2842
"FBgn0051515" 0.165 0.3133 0.5267
"FBgn0261606" 1e-04 0.119 8e-04
"FBgn0036835" 0.0173 0.1914 0.0904
"FBgn0031323" 0.1313 0.405 0.3242
"FBgn0030763" 0.0129 0.1747 0.0738
"FBgn0051174" 0.2108 0.7045 0.2992
"FBgn0039405" 0.0241 0.2568 0.0938
"FBgn0040357" 0.126 0.4161 0.3028
"FBgn0034534" 4e-04 0.3784 0.0011
"FBgn0034763" 0.0028 0.0556 0.0504
"FBgn0030921" 0.0764 0.4197 0.182
"FBgn0038959" 0.0176 0.1493 0.1179
"FBgn0033446" 0.0017 0.3456 0.0049
"FBgn0029894" 0.0073 0.1195 0.0611
"FBgn0050051" 0.0218 0.4399 0.0496
"FBgn0033968" 0.2486 0.5134 0.4842
"FBgn0033207" 0.0285 0.3944 0.0723
"FBgn0028411" 0.0591 0.7762 0.0761
"FBgn0011293" 0.0276 0.2416 0.1142
"FBgn0032774" 0.0222 0.277 0.0801
"FBgn0031684" 0.0191 0.2403 0.0795
"FBgn0031692" 0.003 0.0853 0.0352
"FBgn0033555" 0.0095 0.2988 0.0318
"FBgn0032680" 0.0604 0.2201 0.2744
"FBgn0033608" 0.0028 0.2057 0.0136
"FBgn0010411" 2e-04 0.1668 0.0012
"FBgn0036437" 0.0455 0.389 0.117
"FBgn0035541" 0.0108 0.4053 0.0266
"FBgn0033167" 0.1638 0.3106 0.5274
"FBgn0036938" 0.0298 0.2919 0.1021
"FBgn0026372" 0.0121 0.1039 0.1165
"FBgn0034153" 0.1037 0.2543 0.4078
"FBgn0050447" 0.2647 0.392 0.6753
"FBgn0030804" 0.1969 0.4217 0.4669
"FBgn0029816" 0.126 0.4057 0.3106
"FBgn0036581" 5e-04 0.45 0.0011
"FBgn0031381" 0.0112 0.3367 0.0333
"FBgn0031163" 0.3618 0.5137 0.7043
"FBgn0034539" 0.0031 0.3112 0.01
"FBgn0044809" 0.2221 0.3625 0.6127
"FBgn0025712" 0.0081 0.3884 0.0209
"FBgn0028374" 0.0117 0.0701 0.1669
"FBgn0030390" 0.0246 0.2298 0.107
"FBgn0037614" 1e-04 0.1037 0.001
"FBgn0053809" 0.0453 1.5321 0.0296
"FBgn0040020" 0.0279 0.2425 0.1151
"FBgn0051007" 0.0551 0.2999 0.1837
"FBgn0036825" 2e-04 0.2298 9e-04
"FBgn0039944" 0.0867 0.2078 0.4172
"FBgn0004592" 0.3007 0.5146 0.5843
"FBgn0038903" 0.0136 0.3916 0.0347
"FBgn0050056" 0.0567 0.2548 0.2225
"FBgn0033165" 0.1169 0.424 0.2757
"FBgn0034468" 0.0572 0.375 0.1525
"FBgn0032021" 0.0028 0.2039 0.0137
"FBgn0032489" 0.0285 0.318 0.0896
"FBgn0263850" 0.1009 0.4586 0.22
"FBgn0033222" 0.3974 1.8083 0.2198
"FBgn0262986" 0.1696 0.4076 0.4161
"FBgn0031324" 0.016 0.1465 0.1092
"FBgn0052803" 0.0812 0.1887 0.4303
"FBgn0004781" 0.0262 0.3034 0.0864
"FBgn0051950" 0.0204 0.3927 0.0519
"FBgn0083986" 0.0069 0.2926 0.0236
"FBgn0000500" 0.0916 0.3457 0.265
"FBgn0085212" 0.0262 0.3186 0.0822
"FBgn0035120" 0.0516 0.2305 0.2239
"FBgn0035032" 2e-04 0.1714 0.0012
"FBgn0035208" 0.0408 0.1887 0.2162
"FBgn0038468" 0.0599 0.246 0.2435
"FBgn0036090" 0.0103 0.1274 0.0808
"FBgn0052633" 0.0149 0.4632 0.0322
"FBgn0050441" 0.056 0.2686 0.2085
"FBgn0030294" 0.0073 0.3492 0.0209
"FBgn0034565" 0.0517 0.3411 0.1516
"FBgn0051126" 0.0093 0.2641 0.0352
"FBgn0029765" 0.0535 0.2892 0.185
"FBgn0035529" 0.0029 0.2926 0.0099
"FBgn0259697" 0.1269 0.5406 0.2347
"FBgn0046875" 0.0806 0.4025 0.2002
"FBgn0035097" 0.1161 0.3363 0.3452
"FBgn0030034" 0.0138 0.2471 0.0558
"FBgn0035444" 0.041 0.3726 0.11
"FBgn0031531" 0.1209 0.2851 0.4241
"FBgn0028342" 0.0027 0.1431 0.0189
"FBgn0036617" 0.0473 0.3069 0.1541
"FBgn0039505" 3e-04 0.2582 0.0012
"FBgn0030985" 0.1011 0.2787 0.3628
"FBgn0002531" 0.0515 0.3607 0.1428
"FBgn0033851" 0.0356 0.3364 0.1058
"FBgn0026324" 0.0148 0.2826 0.0524
"FBgn0261628" 0.1634 0.347 0.4709
"FBgn0261990" 0.0124 0.3266 0.038
"FBgn0260468" 0.0105 0.2184 0.0481
"FBgn0036046" 0.0264 0.3493 0.0756
"FBgn0032294" 0.0581 0.4406 0.1319
"FBgn0033480" 0.0223 0.1651 0.1351
"FBgn0044030" 0.0033 0.3413 0.0097
"FBgn0027785" 0.0167 0.3042 0.0549
"FBgn0050269" 0.0446 0.1916 0.2328
"FBgn0284228" 0.0443 0.0216 2.0509
"FBgn0262480" 0.14 0.3834 0.3652
"FBgn0260764" 0.5445 3.0299 0.1797
"FBgn0035415" 0.0198 0.2058 0.0962
"FBgn0262987" 0.1378 0.4402 0.313
"FBgn0035686" 0.0224 0.2195 0.1021
"FBgn0029964" 0.1263 0.7536 0.1676
"FBgn0030929" 0.0921 0.3202 0.2876
"FBgn0039761" 0.0513 0.2837 0.1808
"FBgn0264340" 0.1003 0.5591 0.1794
"FBgn0031455" 5e-04 0.5461 9e-04
"FBgn0037835" 0.0225 0.1948 0.1155
"FBgn0029700" 0.2138 0.2078 1.0289
"FBgn0036198" 0.0245 0.3159 0.0776
"FBgn0037892" 0.0178 0.2605 0.0683
"FBgn0037413" 0.03 0.2216 0.1354
"FBgn0034407" 0.0284 0.2565 0.1107
"FBgn0028398" 0.0693 0.3335 0.2078
"FBgn0022238" 1e-04 0.0959 0.001
"FBgn0030270" 0.0516 0.3989 0.1294
"FBgn0038158" 0.1984 0.195 1.0174
"FBgn0261839" 0.0256 0.4079 0.0628
"FBgn0036246" 0.2996 1.3453 0.2227
"FBgn0000551" 0.0069 0.3387 0.0204
"FBgn0044020" 3e-04 0.3146 0.001
"FBgn0032654" 0.0421 0.2054 0.205
"FBgn0037873" 0.0025 0.2928 0.0085
"FBgn0000308" 0.0035 0.0794 0.0441
"FBgn0040524" 0.0623 0.2415 0.258
"FBgn0262594" 0.1176 0.3726 0.3156
"FBgn0034031" 0.0652 0.3142 0.2075
"FBgn0035148" 3e-04 0.3027 0.001
"FBgn0033680" 0.0265 0.559 0.0474
"FBgn0035473" 0.0177 0.2679 0.0661
"FBgn0262100" 0.2603 0.3418 0.7616
"FBgn0032020" 0.0207 0.3173 0.0652
"FBgn0035209" 0.0335 0.5427 0.0617
"FBgn0031830" 0.0075 0.1196 0.0627
"FBgn0035069" 0.0464 0.5192 0.0894
"FBgn0033467" 0.0179 0.2827 0.0633
"FBgn0032871" 0.0398 0.4917 0.0809
"FBgn0052202" 0.0367 0.2635 0.1393
"FBgn0052163" 0.1493 0.5208 0.2867
"FBgn0034224" 0.0324 0.2929 0.1106
"FBgn0011279" 0.0607 0.315 0.1927
"FBgn0013767" 0.0474 0.526 0.0901
"FBgn0052801" 0.023 0.2768 0.0831
"FBgn0039565" 0.0358 0.2053 0.1744
"FBgn0038124" 0.0603 0.2614 0.2307
"FBgn0085234" 0.0174 0.1232 0.1412
"FBgn0262512" 3e-04 0.2727 0.0011
"FBgn0011695" 0.0243 0.448 0.0542
"FBgn0043536" 0.8099 72.7307 0.0111
"FBgn0039969" 0.0055 0.2688 0.0205
"FBgn0031772" 0.0726 0.2945 0.2465
"FBgn0261284" 0.0142 0.174 0.0816
"FBgn0036426" 0.1288 0.4484 0.2872
"FBgn0000360" 0.0096 0.1804 0.0532
"FBgn0038539" 0.0034 0.6317 0.0054
"FBgn0028667" 0.0155 0.4319 0.0359
"FBgn0262854" 0.1295 0.4318 0.2999
"FBgn0263742" 0.1176 0.3609 0.3259
"FBgn0263033" 0.045 0.2843 0.1583
"FBgn0031585" 0.3373 0.3618 0.9323
"FBgn0032336" 0.0222 0.2154 0.1031
"FBgn0033570" 0.0066 0.2413 0.0274
"FBgn0025115" 0.0503 0.3232 0.1556
"FBgn0000575" 0.0067 0.1448 0.0463
"FBgn0005633" 0.0026 0.1572 0.0165
"FBgn0051560" 0.1622 0.2325 0.6976
"FBgn0032626" 0.138 0.4163 0.3315
"FBgn0040666" 0.0066 0.4633 0.0142
"FBgn0085198" 0.1027 0.3508 0.2928
"FBgn0034774" 0.0632 0.3597 0.1757
"FBgn0013301" 0.2129 1.4601 0.1458
"FBgn0036726" 0.02 0.2177 0.0919
"FBgn0032860" 0.0068 0.2729 0.0249
"FBgn0262819" 0.0621 0.2534 0.2451
"FBgn0037134" 0.0455 0.4882 0.0932
"FBgn0037328" 0.0221 0.2901 0.0762
"FBgn0030928" 0.0505 0.3202 0.1577
"FBgn0038838" 0.3567 1.4704 0.2426
"FBgn0069938" 0.0551 0.245 0.2249
"FBgn0041102" 0.0297 0.4624 0.0642
"FBgn0039684" 0.0431 0.2832 0.1522
"FBgn0002855" 0.5588 0.4472 1.2496
"FBgn0036887" 0.0494 0.4536 0.1089
"FBgn0264294" 0.0059 0.2906 0.0203
"FBgn0016685" 0.0027 0.139 0.0194
"FBgn0031000" 0.1035 0.4337 0.2386
"FBgn0047038" 4e-04 0.4095 0.001
"FBgn0263773" 0.006 0.4879 0.0123
"FBgn0037686" 0.0024 0.1448 0.0166
"FBgn0000552" 0.0574 0.2092 0.2744
"FBgn0036495" 0.1389 0.2811 0.4941
"FBgn0026749" 0.0036 0.2592 0.0139
"FBgn0261587" 0.1278 0.3176 0.4024
"FBgn0052832" 0.0803 0.3109 0.2583
"FBgn0034918" 0.0097 0.3884 0.025
"FBgn0262484" 0.3131 0.4752 0.6589
"FBgn0052672" 0.0074 0.0899 0.0823
"FBgn0030912" 0.166 0.6236 0.2662
"FBgn0030271" 0.019 0.2849 0.0667
"FBgn0032642" 0.0034 0.2111 0.0161
"FBgn0052240" 0.0263 0.3522 0.0747
"FBgn0263848" 0.0947 0.2579 0.3672
"FBgn0036595" 0.0337 0.3481 0.0968
"FBgn0035692" 3e-04 0.2564 0.0012
"FBgn0036820" 3e-04 0.2538 0.0012
"FBgn0050356" 0.1602 0.2453 0.6531
"FBgn0035585" 0.1076 0.4601 0.2339
"FBgn0261568" 0.2995 0.5468 0.5477
"FBgn0052304" 0.1094 0.4886 0.2239
"FBgn0037068" 0.0393 0.2303 0.1706
"FBgn0029771" 0.0059 0.2702 0.0218
"FBgn0053533" 0.0554 0.3627 0.1527
"FBgn0031822" 4e-04 0.3552 0.0011
"FBgn0038540" 0.0251 0.5518 0.0455
"FBgn0038571" 0.0342 0.5643 0.0606
"FBgn0042112" 0.0293 0.2611 0.1122
"FBgn0029800" 0.1041 0.2535 0.4107
"FBgn0046880" 0.0399 0.1798 0.2219
"FBgn0036918" 0.0468 0.3019 0.155
"FBgn0031971" 0.0183 0.4779 0.0383
"FBgn0033728" 0.0033 0.1753 0.0188
"FBgn0037151" 0.0347 0.1827 0.1899
"FBgn0261580" 0.183 0.4125 0.4436
"FBgn0261681" 0.0466 0.4412 0.1056
"FBgn0085489" 0.1329 0.3323 0.3999
"FBgn0033000" 0.0522 0.438 0.1192
"FBgn0032022" 0.0591 0.5068 0.1166
"FBgn0035949" 0.0108 0.2125 0.0508
"FBgn0033781" 0.0501 0.2921 0.1715
"FBgn0038829" 0.0208 0.302 0.0689
"FBgn0035772" 0.167 0.2713 0.6156
"FBgn0085339" 0.0695 0.2928 0.2374
"FBgn0030234" 0.0075 0.1724 0.0435
"FBgn0035280" 0.0024 0.1972 0.0122
"FBgn0051861" 0.3754 0.5274 0.7118
"FBgn0002732" 0.0089 0.1517 0.0587
"FBgn0003660" 0.0027 0.2578 0.0105
"FBgn0030440" 0.0912 0.4875 0.1871
"FBgn0051313" 0.0651 0.3632 0.1792
"FBgn0051460" 0.0302 0.5264 0.0574
"FBgn0038656" 0.1411 0.3727 0.3786
"FBgn0033869" 0.0025 0.1594 0.0157
"FBgn0031365" 0.2124 0.4692 0.4527
"FBgn0034850" 0.0982 0.3675 0.2672
"FBgn0035511" 0.0039 0.264 0.0148
"FBgn0262006" 0.075 0.8476 0.0885
"FBgn0000022" 0.0395 0.2116 0.1867
"FBgn0261067" 2e-04 0.2302 9e-04
"FBgn0034638" 0.0425 0.1151 0.3692
"FBgn0050058" 0.3094 0.5431 0.5697
"FBgn0023091" 0.0365 0.2582 0.1414
"FBgn0051715" 0.0478 0.2424 0.1972
"FBgn0037402" 0.1912 1.0135 0.1887
"FBgn0036679" 0.0644 0.2097 0.3071
"FBgn0033164" 0.2602 0.3935 0.6612
"FBgn0083938" 0.4164 0.5892 0.7067
"FBgn0050481" 0.0058 0.1594 0.0364
"FBgn0050355" 0.1151 0.2149 0.5356
"FBgn0032533" 0.1084 0.4148 0.2613
"FBgn0030183" 3e-04 0.2613 0.0011
"FBgn0032595" 0.0036 0.3833 0.0094
"FBgn0034152" 0.0715 0.2726 0.2623
"FBgn0011283" 0.07 0.3369 0.2078
"FBgn0003942" 1e-04 0.0562 0.0018
"FBgn0086656" 0.007 0.3126 0.0224
"FBgn0034350" 0.0038 0.3696 0.0103
"FBgn0039719" 0.0278 0.1884 0.1476
"FBgn0264433" 0.2781 0.4282 0.6495
"FBgn0037477" 0.1355 0.2883 0.47
"FBgn0039337" 0.0135 0.3274 0.0412
"FBgn0262359" 0.1267 0.4275 0.2964
"FBgn0085263" 0.0651 0.2754 0.2364
"FBgn0262009" 0.1481 0.5314 0.2787
"FBgn0260000" 0.0314 0.1172 0.2679
"FBgn0039811" 0.1724 0.4358 0.3956
"FBgn0050148" 0.0524 0.271 0.1934
"FBgn0039805" 0.017 0.2363 0.0719
"FBgn0040354" 0.0363 0.2931 0.1238
"FBgn0053302" 0.0282 0.1987 0.1419
"FBgn0262571" 0.1407 0.4829 0.2914
"FBgn0043532" 0.2257 0.3307 0.6825
"FBgn0037615" 1e-04 0.1087 9e-04
"FBgn0035139" 0.1358 0.2343 0.5796
"FBgn0019936" 0.0032 0.2128 0.015
"FBgn0260436" 0.0478 0.2244 0.213
"FBgn0261536" 0.1432 0.3193 0.4485
"FBgn0259701" 0.1668 0.3823 0.4363
"FBgn0028683" 0.0037 0.3362 0.011
"FBgn0026084" 1e-04 0.086 0.0012
"FBgn0040732" 0.0176 0.218 0.0807
"FBgn0260401" 0.003 0.2837 0.0106
"FBgn0039810" 0.0558 0.527 0.1059
"FBgn0003270" 0.0217 0.3879 0.0559
"FBgn0266711" 0 0.0222 0
"FBgn0261583" 0.3552 0.3184 1.1156
"FBgn0038107" 0.0162 0.3051 0.0531
"FBgn0034839" 0.4139 0.9186 0.4506
"FBgn0036811" 0.0126 0.4098 0.0307
"FBgn0261560" 0.0075 0.2939 0.0255
"FBgn0043533" 0.1512 0.3722 0.4062
"FBgn0031563" 0.0489 0.2874 0.1701
"FBgn0037114" 0.0391 0.2837 0.1378
"FBgn0262587" 0.2736 0.6382 0.4287
"FBgn0031343" 0.0737 0.3164 0.2329
"FBgn0032709" 0.0561 0.2268 0.2474
"FBgn0036575" 0.0227 0.5442 0.0417
"FBgn0264739" 0.205 0.4889 0.4193
"FBgn0044810" 0.1394 0.3188 0.4373
"FBgn0030398" 0.0188 0.2688 0.0699
"FBgn0259958" 0.2718 0.4401 0.6176
"FBgn0029529" 0.0138 0.5214 0.0265
"FBgn0034138" 2e-04 0.1721 0.0012
"FBgn0265785" 0.1897 0.3422 0.5544
"FBgn0037714" 0.0463 0.4239 0.1092
"FBgn0038052" 0.2656 0.3975 0.6682
"FBgn0036056" 0.0374 0.6308 0.0593
"FBgn0261287" 0.1791 0.4546 0.394
"FBgn0261624" 0.1463 0.431 0.3394
"FBgn0028554" 0.0058 0.208 0.0279
"FBgn0019828" 0.1064 0.393 0.2707
"FBgn0029170" 0.0365 0.1836 0.1988
"FBgn0052639" 0.1275 0.341 0.3739
"FBgn0029084" 0.031 0.4276 0.0725
"FBgn0054003" 0.0653 0.3105 0.2103
"FBgn0259922" 0.1122 0.2685 0.4179
"FBgn0036406" 0.04 0.3428 0.1167
"FBgn0040352" 0.0774 0.3291 0.2352
"FBgn0011290" 0.0126 0.289 0.0436
"FBgn0037124" 0.0596 0.3194 0.1866
"FBgn0022959" 0.0204 0.1556 0.1311
"FBgn0085206" 0.0581 0.3373 0.1723
"FBgn0033355" 0.0317 0.5137 0.0617
"FBgn0263656" 0.2134 0.4318 0.4942
"FBgn0039552" 0.0395 0.2134 0.1851
"FBgn0032101" 0.025 0.4211 0.0594
"FBgn0051876" 0.0123 0.1985 0.062
"FBgn0030542" 0.0816 0.4591 0.1777
"FBgn0035393" 0.0484 0.6166 0.0785
"FBgn0040607" 0.1131 0.3715 0.3044
"FBgn0264540" 0.187 0.3948 0.4737
"FBgn0036665" 0.0108 0.2437 0.0443
"FBgn0032634" 3e-04 0.3086 0.001
"FBgn0085190" 0.0211 0.1509 0.1398
"FBgn0032588" 0.1072 0.2967 0.3613
"FBgn0051676" 0.0321 0.2866 0.112
"FBgn0260968" 0.3191 0.4584 0.6961
"FBgn0051709" 0.3682 0.7019 0.5246
"FBgn0038437" 0.011 0.3827 0.0287
"FBgn0038834" 0.0064 0.0551 0.1162
"FBgn0261386" 0.0555 0.2951 0.1881
"FBgn0033554" 0.0121 0.2993 0.0404
"FBgn0261615" 0.1286 0.3704 0.3472
"FBgn0036110" 0.0341 0.2856 0.1194
"FBgn0085352" 0.2788 0.6125 0.4552
"FBgn0033907" 0.0106 0.4413 0.024
"FBgn0033278" 0.0915 0.3762 0.2432
"FBgn0085242" 0.0478 0.3894 0.1228
"FBgn0033820" 0.1526 0.375 0.4069
"FBgn0033961" 0.0109 0.3728 0.0292
"FBgn0262607" 0.1186 0.4682 0.2533
"FBgn0038426" 0.0071 0.1796 0.0395
"FBgn0005533" 0.0031 0.0725 0.0428
"FBgn0051922" 0.105 0.607 0.173
"FBgn0085313" 0.0461 0.1939 0.2378
"FBgn0085357" 0.2904 0.6165 0.471
"FBgn0261593" 0.0052 0.1004 0.0518
"FBgn0030614" 0.0611 0.394 0.1551
"FBgn0024432" 4e-04 0.4243 9e-04
"FBgn0023212" 0.0037 0.1411 0.0262
"FBgn0036598" 0.0295 0.1782 0.1655
"FBgn0030071" 0.0507 0.5101 0.0994
"FBgn0259967" 0.2455 0.3517 0.698
"FBgn0030900" 0.0325 0.1134 0.2866
"FBgn0034877" 0.0146 0.248 0.0589
"FBgn0031623" 0.1262 0.4056 0.3111
"FBgn0263114" 0.1527 0.3058 0.4993
"FBgn0000181" 0.0097 0.1894 0.0512
"FBgn0029854" 0.0338 0.3812 0.0887
"FBgn0036345" 0.09 0.282 0.3191
"FBgn0038579" 0.037 0.3186 0.1161
"FBgn0262601" 0.0047 0.1992 0.0236
"FBgn0036255" 0.0082 0.1778 0.0461
"FBgn0034505" 0.0482 0.4819 0.1
"FBgn0039149" 0.0184 0.2202 0.0836
"FBgn0260761" 0.1581 0.4856 0.3256
"FBgn0260233" 0.0224 0.182 0.1231
"FBgn0083984" 0.0358 0.4784 0.0748
"FBgn0053995" 1e-04 0.0584 0.0017
"FBgn0033730" 0.0155 0.3428 0.0452
"FBgn0264742" 0.0247 0.2053 0.1203
"FBgn0034726" 0.0793 0.2426 0.3269
"FBgn0263022" 0.0981 0.3415 0.2873
"FBgn0030326" 0.0766 0.2943 0.2603
"FBgn0264897" 0.2687 0.3433 0.7827
"FBgn0035422" 0.0029 0.114 0.0254
"FBgn0038944" 0.0647 0.407 0.159
"FBgn0038343" 0.1282 0.6219 0.2061
"FBgn0039576" 0.016 0.3055 0.0524
"FBgn0033729" 0.0206 0.3068 0.0671
"FBgn0038523" 0.0874 0.3458 0.2527
"FBgn0036890" 0.0073 0.2286 0.0319
"FBgn0260234" 0.0937 0.2897 0.3234
"FBgn0033550" 5e-04 0.5459 9e-04
"FBgn0250835" 0.1645 0.3346 0.4916
"FBgn0002579" 0.0034 0.4015 0.0085
"FBgn0040694" 0.1099 0.1726 0.6367
"FBgn0034000" 0.0358 0.4693 0.0763
"FBgn0050016" 0.0214 0.3988 0.0537
"FBgn0262893" 0.1931 0.2055 0.9397
"FBgn0083961" 0.0598 0.1965 0.3043
"FBgn0052405" 0.0216 0.4193 0.0515
"FBgn0034104" 0.1059 0.516 0.2052
"FBgn0025286" 2e-04 0.1749 0.0011
"FBgn0036126" 0.0581 0.2279 0.2549
"FBgn0262984" 0.1986 0.4415 0.4498
"FBgn0028871" 0.0165 0.3158 0.0522
"FBgn0038218" 0.1248 0.354 0.3525
